trial,run,stimCat,stimN,oldNew,resp,rt,accEncoded,postChoiceDur,isiDur,conf,confRT,confPresses,rt2,acc,wasRDD,nRDD,rddVal,rddRew,rddAcc,totExp,acc2,Subject
18,1,1,55,0,1,1114,1,0.743180903,0.356346004,1,1.5682899,2,1.1087728,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
19,1,3,37,3,2,3002,0,0.63571338,0.341569199,3,0.2153501,0,2.999787,1,1,0,30,10,1,1,1,PAV064
20,1,2,11,1,2,1929,1,0.663259419,0.427884593,5,1.8240406,2,1.9266181,1,1,0,25,10,1,4,1,PAV064
21,1,1,43,0,1,892,1,0.474935274,0.558762078,3,0.1676312,0,0.8879377,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
22,1,3,50,0,1,1096,1,0.317187363,0.626500415,1,1.404042,2,1.0945473,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
23,1,1,50,0,1,1237,1,0.641005876,0.51647236,1,1.2809819,2,1.2350695,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
24,1,1,8,1,1,869,0,0.297450445,0.642900193,1,2.0441072,2,0.8662737,0,1,0,25,10,1,3,0,PAV064
25,1,3,1,1,2,1836,1,0.388669101,0.68591752,4,1.6865056,1,1.8308488,1,1,0,20,10,1,2,1,PAV064
26,1,3,46,0,2,1568,0,0.709550463,0.703801724,3,0.0542687,0,1.5646659,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
27,1,1,38,3,1,2500,1,0.539722988,0.622733914,2,1.5181055,1,2.4978943,0,1,0,20,10,1,1,0,PAV064
28,1,2,16,1,2,1133,1,0.276901058,0.551008135,5,1.8084384,2,1.1303201,1,1,9,10,10,1,15,1,PAV064
29,1,1,6,1,1,1286,0,0.511812094,0.310652195,1,1.3865804,2,1.2844825,0,1,0,30,10,1,3,0,PAV064
30,1,2,30,3,2,1135,0,0.51032212,0.695253699,5,1.8220229,2,1.1325621,1,1,0,30,10,1,1,1,PAV064
31,1,1,2,1,2,2868,1,0.29462127,0.719726915,3,2.5757829,0,2.8657808,1,1,0,25,10,1,2,1,PAV064
32,1,2,45,0,2,1717,0,0.746983913,0.628457437,5,1.5633784,2,1.7149374,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
33,1,1,53,0,1,806,1,0.608322309,0.29102797,3,0.1053256,0,0.8021342,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
34,1,1,16,1,1,953,0,0.495602173,0.42172147,2,1.3193616,1,0.95135,0,1,9,10,10,1,15,0,PAV064
35,1,1,54,0,1,662,1,0.277923318,0.436319871,1,1.7350333,2,0.6547959,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
36,1,2,41,0,1,3206,1,0.429359273,0.29050128,3,0.0753912,0,3.2033729,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
37,1,2,12,1,2,970,1,0.373961223,0.600903725,3,0.0515574,0,0.9678086,1,1,1,20,20,1,4,1,PAV064
38,1,1,26,3,1,675,1,0.554170695,0.533738716,1,1.5354703,2,0.673164,0,1,0,20,10,1,1,0,PAV064
39,1,2,17,1,2,1414,1,0.396022404,0.664169391,5,1.5278718,2,1.409462,1,1,7,10,10,1,15,1,PAV064
40,1,1,17,1,2,1620,1,0.549040614,0.399052201,5,1.7031133,2,1.6177694,1,1,8,10,10,1,15,1,PAV064
41,1,3,27,3,2,2525,0,0.509262597,0.625493338,5,1.7523002,2,2.5232377,1,1,0,25,10,1,1,1,PAV064
42,1,3,31,3,2,1504,0,0.409875552,0.723900398,5,1.9167726,2,1.5017639,1,1,0,30,10,1,1,1,PAV064
43,1,3,66,0,1,4011,1,0.548915202,0.268685123,1,1.7188881,2,4.0083875,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
44,1,2,3,1,2,1006,1,0.658282318,0.586473923,5,1.87745,2,1.002403,1,1,1,25,25,1,2,1,PAV064
45,1,2,44,0,2,2094,0,0.433414826,0.51220034,5,1.92716,2,2.0901178,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
46,1,1,24,3,1,1316,1,0.746677372,0.27607765,1,1.3774082,2,1.3139036,0,1,0,30,10,1,1,0,PAV064
47,1,2,46,0,1,2750,1,0.621775544,0.28242806,1,1.839698,2,2.745586,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
48,1,3,30,3,2,1954,0,0.387572833,0.667413824,5,1.9292273,2,1.9486386,1,1,0,20,10,1,1,1,PAV064
49,1,3,15,1,2,1761,1,0.266073781,0.591398916,5,2.8724953,2,1.759277,1,1,0,20,10,1,4,1,PAV064
50,1,2,35,3,2,1286,0,0.639591462,0.334547231,3,0.1356401,0,1.2827843,1,1,0,30,10,1,1,1,PAV064
51,1,1,44,0,1,913,1,0.540806499,0.515597947,1,1.4284512,2,0.9103325,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
52,1,2,18,1,2,900,1,0.545422354,0.279621325,5,1.7605439,2,0.8972149,1,1,7,10,10,1,15,1,PAV064
53,1,2,10,1,2,1851,1,0.480507784,0.459857475,5,3.2057126,2,1.8488124,1,1,0,25,10,1,3,1,PAV064
54,1,3,3,1,1,2050,0,0.520702816,0.390491131,1,1.2403449,2,2.0480689,0,1,0,30,10,1,2,0,PAV064
55,1,3,40,0,2,1341,0,0.44372722,0.326465696,4,1.9865618,1,1.3391347,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
56,1,3,42,0,1,1587,1,0.549048689,0.495404421,1,1.4774618,2,1.584864,1,0,NaN,NaN,NaN,NaN,NaN,1,PAV064
57,1,2,49,0,2,989,0,0.576142517,0.291605558,5,2.0809543,2,0.9869137,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
58,1,2,48,0,2,1330,0,0.532952504,0.683033464,5,1.8617536,2,1.3277087,0,0,NaN,NaN,NaN,NaN,NaN,0,PAV064
